"nodeId","D",
"O2DB757121KG75434","5558",
"O2DB757121KG75885","5887",
"O2DB757121KG73381","3615",
"O2DB757121KG73856","4095",
"O2DB757121KG73641","3881",
"O2DB757121KG71803","2121",
"O2DB757121KG74092","4330",
"O2DB757121KG72063","2358",
"O2DB757121KG72397","2678",
"O2DB757121KG74352","4592",
"O2DB757121KG72657","2927",
"O2DB757121KG74803","5027",
"O2DB757121KG72299","2588",
"O2DB757121KG73108","3355",
"O2DB757121KG72559","2830",
"O2DB757121KG75397","5532",
"O2DB757121KG73368","3602",
"O2DB757121KG73010","3273",
"O2DB757121KG75299","5454",
"O2DB757121KG73604","3844",
"O2DB757121KG75559","5639",
"O2DB757121KG72026","2324",
"O2DB757121KG74315","4553",
"O2DB757121KG72737","3007",
"O2DB757121KG75026","5227",
"O2DB757121KG72522","2793",
"O2DB757121KG72973","3236",
"O2DB757121KG75737","5777",
"O2DB757121KG73233","3475",
"O2DB757121KG75522","5615",
"O2DB757121KG73684","3924",
"O2DB757121KG73469","3706",
"O2DB757121KG73944","4182",
"O2DB757121KG74278","4516",
"O2DB757121KG74538","4774",
"O2DB757121KG71891","2202",
"O2DB757121KG74180","4418",
"O2DB757121KG72151","2445",
"O2DB757121KG72485","2759",
"O2DB757121KG74440","4678",
"O2DB757121KG74891","5114",
"O2DB757121KG72862","3126",
"O2DB757121KG73196","3440",
"O2DB757121KG75151","5309",
"O2DB757121KG73456","3692",
"O2DB757121KG73907","4145",
"O2DB757121KG75862","5870",
"O2DB757121KG74167","4405",
"O2DB757121KG73809","4048",
"O2DB757121KG72114","2409",
"O2DB757121KG74403","4642",
"O2DB757121KG74663","4889",
"O2DB757121KG72825","3090",
"O2DB757121KG75114","5275",
"O2DB757121KG72610","2882",
"O2DB757121KG75825","5839",
"O2DB757121KG73321","3555",
"O2DB757121KG75610","5683",
"O2DB757121KG73772","4011",
"O2DB757121KG71743","2065",
"O2DB757121KG72077","2372",
"O2DB757121KG74032","4270",
"O2DB757121KG72337","2626",
"O2DB757121KG74626","4852",
"O2DB757121KG71979","2290",
"O2DB757121KG72788","3054",
"O2DB757121KG74743","4968",
"O2DB757121KG72239","2530",
"O2DB757121KG72573","2844",
"O2DB757121KG73048","3311",
"O2DB757121KG75337","5490",
"O2DB757121KG72690","2959",
"O2DB757121KG74979","5191",
"O2DB757121KG72950","3213",
"O2DB757121KG75788","5816",
"O2DB757121KG73284","3519",
"O2DB757121KG75239","5394",
"O2DB757121KG75573","5651",
"O2DB757121KG73544","3784",
"O2DB757121KG75690","5736",
"O2DB757121KG71706","2035",
"O2DB757121KG73995","4233",
"O2DB757121KG75950","5942",
"O2DB757121KG71966","2277",
"O2DB757121KG74255","4493",
"O2DB757121KG74706","4932",
"O2DB757121KG72202","2494",
"O2DB757121KG74491","4728",
"O2DB757121KG72462","2736",
"O2DB757121KG72913","3176",
"O2DB757121KG75202","5358",
"O2DB757121KG73507","3747",
"O2DB757121KG75462","5583",
"O2DB757121KG75913","5913",
"O2DB757121KG74218","4456",
"O2DB757121KG71831","2143",
"O2DB757121KG74120","4358",
