"nodeId","D",
"O1JC76301JC111751JC21712","4370",
"O1JC76301JC8967","2383",
"O1JC76301JC9323","2710",
"O1JC76301JC9584","2964",
"O1JC76301JC10034","3407",
"O1JC76301JC10293","3665",
"O1JC76301JC10835","4107",
"O1JC76301JC10562","3896",
"O1JC76301JC7824","1290",
"O1JC76301JC8930","2346",
"O1JC76301JC8072","1524",
"O1JC76301JC9546","2928",
"O1JC76301JC8336","1783",
"O1JC76301JC9448","2832",
"O1JC76301JC10257","3630",
"O1JC76301JC9900","3274",
"O1JC76301JC10159","3532",
"O1JC76301JC7786","1253",
"O1JC76301JC8892","2309",
"O1JC76301JC7682","1158",
"O1JC76301JC11004","4229",
"O1JC76301JC9168","2565",
"O1JC76301JC8299","1746",
"O1JC76301JC9411","2795",
"O1JC76301JC9887","3261",
"O1JC76301JC9672","3052",
"O1JC76301JC9788","3165",
"O1JC76301JC10122","3495",
"O1JC76301JC10382","3752",
"O1JC76301JC7645","1121",
"O1JC76301JC10946","4193",
"O1JC76301JC10655","3983",
"O1JC76301JC7917","1378",
"O1JC76301JC112021JC21739","4397",
"O1JC76301JC8262","1709",
"O1JC76301JC8539","1965",
"O1JC76301JC9018","2434",
"O1JC76301JC8161","1611",
"O1JC76301JC9635","3015",
"O1JC76301JC8437","1868",
"O1JC76301JC9753","3131",
"O1JC76301JC10344","3715",
"O1JC76301JC8742","2161",
"O1JC76301JC7875","1341",
"O1JC76301JC112611JC21794","4449",
"O1JC76301JC8148","1599",
"O1JC76301JC10762","4062",
"O1JC76301JC8981","2397",
"O1JC76301JC11110","4313",
"O1JC76301JC9259","2653",
"O1JC76301JC8394","1832",
"O1JC76301JC8665","2087-2",
"O1JC76301JC9715","3095",
"O1JC76301JC9499","2882",
"O1JC76301JC9975","3348",
"O1JC76301JC10210","3583",
"O1JC76301JC10488","3836;4553",
"O1JC76301JC7738","1206",
"O1JC76301JC11061","4278",
"O1JC76301JC8869","2287",
"O1JC76301JC9220","2616",
"O1JC76301JC8011","1464",
"O1JC76301JC9486","2870",
"O1JC76301JC8628","2051",
"O1JC76301JC9118","2521",
"O1JC76301JC9938","3311",
"O1JC76301JC9388","2772",
"O1JC76301JC10197","3570",
"O1JC76301JC9839","3216",
"O1JC76301JC10443","3801",
"O1JC76301JC7723","1193",
"O1JC76301JC10757","4057",
"O1JC76301JC8831","2250",
"O1JC76301JC7973","1427",
"O1JC76301JC8239","1686",
"O1JC76301JC8591","2015",
"O1JC76301JC9351","2736-2",
"O1JC76301JC8491","1918",
"O1JC76301JC9802","3179",
"O1JC76301JC10062","3435",
"O1JC76301JC10705","4020",
"O1JC76301JC10297","3669",
"O1JC76301JC10878","4135",
"O1JC76301JC112161JC21753","4410",
"O1JC76301JC10592","3924",
"O1JC76301JC8200","1649",
"O1JC76301JC8695","2116",
"O1JC76301JC111651JC21703","4361",
"O1JC76301JC8958","2374",
"O1JC76301JC9314","2701",
"O1JC76301JC8100","1552",
"O1JC76301JC9575","2955",
"O1JC76301JC10026","3399",
"O1JC76301JC10284","3657",
"O1JC76301JC10816","4099/326",
"O1JC76301JC10552","3887",
"O1JC76301JC7815","1281",
"O1JC76301JC111491JC21690","4348",
"O1JC76301JC8920","2337",
"O1JC76301JC8062","1515",
"O1JC76301JC9537","2919",
"O1JC76301JC8327","1774",
"O1JC76301JC9439","2823",
"O1JC76301JC10150","3523",
"O1JC76301JC8883","2301",
"O1JC76301JC7673","1149",
"O1JC76301JC10977","4220",
"O1JC76301JC9159","2556",
"O1JC76301JC8290","1737",
"O1JC76301JC8784","2205",
"O1JC76301JC8567","1993",
"O1JC76301JC9046","2462",
"O1JC76301JC9402","2786",
"O1JC76301JC9878","3252",
"O1JC76301JC9663","3043",
"O1JC76301JC9779","3156",
"O1JC76301JC10113","3486",
"O1JC76301JC10373","3743",
"O1JC76301JC7636","1112",
"O1JC76301JC10937","4184",
"O1JC76301JC8771","2192",
"O1JC76301JC10645","3975;4487",
"O1JC76301JC7908","1369",
"O1JC76301JC111931JC21730","4388",
"O1JC76301JC8530","1956",
"O1JC76301JC9009","2425",
"O1JC76301JC8152","1603",
"O1JC76301JC9289","2679",
"O1JC76301JC9626","3006",
"O1JC76301JC8428","1859",
"O1JC76301JC9744","3122",
"O1JC76301JC10632","3962",
"O1JC76301JC10238","3611",
"O1JC76301JC7866","1332",
"O1JC76301JC112521JC21785","4440",
"O1JC76301JC8139","1590",
"O1JC76301JC7767","1234",
"O1JC76301JC9250","2644",
"O1JC76301JC8039","1492",
"O1JC76301JC8384","1823",
"O1JC76301JC8656","2079",
"O1JC76301JC9706","3086",
"O1JC76301JC9966","3339",
"O1JC76301JC10201","3574",
"O1JC76301JC10479","3827",
"O1JC76301JC11052","4269",
"O1JC76301JC8860","2278",
"O1JC76301JC9211","2607",
"O1JC76301JC8002","1455",
"O1JC76301JC9477","2861",
"O1JC76301JC8619","2043",
"O1JC76301JC9104","2512",
"O1JC76301JC9379","2763",
"O1JC76301JC9830","3207",
"O1JC76301JC10090","3463",
"O1JC76301JC10432","3792",
"O1JC76301JC10746","4048",
"O1JC76301JC8822","2241",
"O1JC76301JC7962","1418",
"O1JC76301JC8229","1677",
"O1JC76301JC8723","2142",
"O1JC76301JC9342","2729",
"O1JC76301JC8482","1910",
"O1JC76301JC10053","3426",
"O1JC76301JC10688","4012",
"O1JC76301JC10868","4126",
